Timestamp,Sex:,Household Monthly Income (Php):,"Based on the Myers–Briggs Type Indicator (MBTI) test, what is your personality type? ",Would you like your future college program to be related to your current track/strand?,Which track/strand are you part of?,In which specialized subject do you have the highest grade?,In which specialized subject do you have the highest grade?,In which specialized subject do you have the highest grade?,What is your specialization/strand?,In which core subject do you have the highest grade?,[Primary Skill],[Secondary Skill],Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,"Which university are you planning to attend for college? (If college student, please enter your current university)","What college program are you considering to take? (If college student, please enter your current program)"
10/25/2024 19:21:17,Male,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Solving math problems,Programming,Dealing with human behavior,Pamantasan ng Lungsod ng Pasig,BS in Computer Science
10/27/2024 18:48:19,Female,"18,200 to 109,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",No,,,,,,General Mathematics,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Solving math problems,Analyzing financial data,Reading/Writing content,University of the Philippines Diliman,BS in Mathematics
10/27/2024 18:48:19,Male,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Talking/Presenting in front of people,Solving math problems,Analyzing financial data,Reading/Writing content,RTU,BS in Mathematics
10/27/2024 18:48:19,Male,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Talking/Presenting in front of people,Solving math problems,Analyzing financial data,Reading/Writing content,Polytechnic University of the Philippines ,BS in Mathematics
10/27/2024 18:48:19,Male,"109,200 and above","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Solving math problems,Programming,Reading/Writing content,FEU,BS in Computer Engineering
10/27/2024 18:48:19,Female,"18,200 to 109,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,General Physics,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Solving math problems,Programming,Dealing with human behavior,ATENEO DE MANILA UNIVERSITY ,BS in Computer Engineering
9/13/2024 15:53:17,Male,"18,200 to 109,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Talking/Presenting in front of people, Solving math problems,Helping others learn,Dealing with human behavior,University of the Philippines ,BS in Statistics
9/13/2024 15:53:17,Male,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology, Solving math problems,Analyzing financial data,Dealing with human behavior,RTU,BS in Statistics
9/13/2024 7:05:15,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,General Physics,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people, Solving math problems,Analyzing financial data,Traveling,University of the Philippines ,BS in Statistics
9/13/2024 7:05:15,Male,"18,200 to 109,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Solving math problems,Programming,Traveling,ATENEO DE MANILA UNIVERSITY ,BS in Computer Engineering
9/29/2024 20:57:57,Male,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,HUMSS,,,Disciplines and Ideas in the Applied Social Sciences,,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Reading/Writing content,PAMANTASAN NG LUNGSOD NG PASIG,BS in Education
9/29/2024 20:57:57,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,HUMSS,,,,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Organizing large-scale events,Helping others learn,Dealing with human behavior,I am a SHS student and still undecided.,BS in Education
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,ABM,Business Marketing,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Drawing and creating digital designs,Solving math problems,Analyzing financial data,Reading/Writing content,University of the Philippines Diliman,BS in Business Marketing
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,ABM,Business Marketing,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Drawing and creating digital designs,Interacting with people,Analyzing financial data,Reading/Writing content,University of the Philippines Diliman,BS in Business Marketing
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,ABM,Business Marketing,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Drawing and creating digital designs,Editing videos,Analyzing financial data,Reading/Writing content,Rizal Technological University,BS in Business Marketing
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,ABM,Business Marketing,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Managing a business,Interacting with people,Analyzing financial data,Reading/Writing content,Polytechnic University of the Philippines,BS in Business Marketing
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,ABM,Business Math,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Drawing and creating digital designs,Solving math problems,Analyzing financial data,Reading/Writing content,MAPUA,BS in Business Marketing
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,ABM,Business Math,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Organizing large-scale events,Analyzing financial data,Dealing with human behavior,Polytechnic University of the Philippines,BS in Business Administration
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology, Solving math problems,Analyzing financial data,Dealing with human behavior,University of the Philippines ,BS in Statistics
9/30/2024 5:06:34,Male,"109,200 and above","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Research/Capstone Project,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Analyzing financial data,Traveling,N/A,BS in Mechanical Engineering
9/30/2024 5:06:34,Male,"109,200 and above","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Dealing with designs of buildings/infrastructures,Reading/Writing content,N/A,BS in Mechanical Engineering
9/30/2024 5:06:34,Male,"109,200 and above","INTP (Curious, analytical, and intellectual. They enjoy exploring abstract theories and seek understanding and knowledge.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Learning things about technology,Solving math problems,Dealing with designs of buildings/infrastructures,Dealing with human behavior,N/A,BS in Mechanical Engineering
10/27/2024 10:41:03,Female,"18,200 to 109,200",ISFJ,Yes,STEM,,General Biology,,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Physical and Health Activities,Taking care of others,Helping others learn,Reading/Writing content,PUP,BS in Nursing
9/13/2024 15:53:17,Female,"Less than 9,100 to 18,200",ISFJ,Yes,ABM,Business Math,,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Managing a business,Interacting with people,Analyzing financial data,Traveling,PUP,BS in Accountancy
9/15/2024 19:17:08,Male,"Less than 9,100 to 18,200",ISFJ,Yes,TVL Track,,,,Cookery,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Organizing large-scale events,Helping others learn,Cooking and presenting dishes,ICCT Cainta,BS in Hospitality Management
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200",ISFJ,No,,,,,,Pagbasa at Pagsusuri ng Iba’t-Ibang Teksto Tungo sa Pananaliksik,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)", Talking/Presenting in front of people,Interacting with people,Helping others learn,Traveling,Pamantasan ng Lungsod ng Pasig or STI or-ca,BS in Tourism Management
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200",ISFJ,No,,,,,,Media and Information Literacy,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)", Talking/Presenting in front of people,Interacting with people,Helping others learn,Traveling,Pamantasan ng Lungsod ng Pasig or STI or-ca,BS in Tourism Management
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200",ISFJ,No,,,,,,Physical Education and Health,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)", Talking/Presenting in front of people,Interacting with people,Helping others learn,Traveling,Pamantasan ng Lungsod ng Pasig or STI or-ca,BS in Tourism Management
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200",ISFJ,Yes,TVL Track,,,,Cookery,Media and Information Literacy,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)", Talking/Presenting in front of people,Organizing large-scale events,Helping others learn,Traveling,Pamantasan ng Lungsod ng Pasig or STI or-ca,BS in Tourism Management
9/29/2024 21:13:55,Female,"18,200 to 109,200",ISFJ,Yes,STEM,,Calculus,,,,"Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Physical and Health Activities,Interacting with people,Helping others learn,Reading/Writing content,Our Lady of Fatima University ,BS in Nursing
10/23/2024 21:10:57,Female,"18,200 to 109,200","ISFJ (Warm, nurturing, and detail-oriented. They are dedicated to helping others and are reliable and loyal.)",Yes,STEM,,General Biology,,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Physical and Health Activities,Taking care of others,Performing on stage,Dealing with human behavior,plp,BS in Nursing
10/27/2024 10:44:56,Male,"109,200 and above","ISFJ (Warm, nurturing, and detail-oriented. They are dedicated to helping others and are reliable and loyal.)",No,,,,,,Komunikasyon at Pananaliksik sa Wika at Kulturang Pilipino,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Reading/Writing content,MAPUA,AB in Communication
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","ISFJ (Warm, nurturing, and detail-oriented. They are dedicated to helping others and are reliable and loyal.)",Yes,ABM,Business Math,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Managing a business, Solving math problems,Analyzing financial data,Reading/Writing content,STI Ortigas Cainta,BS in Accountancy
9/13/2024 7:05:15,Female,"Less than 9,100 to 18,200",ISFP,Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)", Drawing and creating digital designs,Editing videos,Dealing with designs of buildings/infrastructures,Reading/Writing content,No specific school yet but I prefer to study college here in Pasig.,AB in Multimedia Arts
9/13/2024 7:05:15,Female,"Less than 9,100 to 18,200",ISFP,No,,,,,,Media and Information Literacy,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)", Drawing and creating digital designs,Editing videos,Dealing with designs of buildings/infrastructures,Reading/Writing content,No specific school yet but I prefer to study college here in Pasig.,AB in Multimedia Arts
10/27/2024 15:46:22,Male,"18,200 to 109,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,STEM,,General Physics,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Drawing and creating digital designs,Editing videos,Dealing with designs of buildings/infrastructures,Traveling,tip,BS in Architecture
10/27/2024 15:46:22,Male,"18,200 to 109,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,STEM,,General Physics,,,,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Drawing and creating digital designs,Editing videos,Dealing with designs of buildings/infrastructures,Traveling,tip,BS in Architecture
10/27/2024 15:46:22,Female,"109,200 and above","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,STEM,,General Physics,,,,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Drawing and creating digital designs, Solving math problems,Dealing with designs of buildings/infrastructures,Traveling,tip,BS in Architecture
10/27/2024 15:46:22,Male,"18,200 to 109,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,STEM,,Calculus,,,,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Drawing and creating digital designs,Editing videos,Dealing with designs of buildings/infrastructures,Reading/Writing content,tip,BS in Architecture
10/27/2024 15:46:22,Female,"Less than 9,100 to 18,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,STEM,,General Chemistry,,,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Drawing and creating digital designs,Interacting with people,Dealing with designs of buildings/infrastructures,Reading/Writing content,MAPUA,BS in Architecture
10/27/2024 15:46:22,Male,"18,200 to 109,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,STEM,,Calculus,,,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Drawing and creating digital designs, Solving math problems,Dealing with designs of buildings/infrastructures,Reading/Writing content,MAPUA,BS in Architecture
10/27/2024 18:48:19,Female,"18,200 to 109,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,ABM,Organization and Management,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Organizing large-scale events,Analyzing financial data,Reading/Writing content,ICCT,BS in Entrepreneurship
9/13/2024 15:53:17,Male,"Less than 9,100 to 18,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,TVL Track,,,,Cookery,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Physical and Health Activities,Interacting with people,Helping others learn,Cooking and presenting dishes,Un decided ,BS in Culinary Arts
9/13/2024 15:53:17,Male,"Less than 9,100 to 18,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,TVL Track,,,,Cookery,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Physical and Health Activities,Interacting with people,Performing on stage,Cooking and presenting dishes,Un decided ,BS in Culinary Arts
9/13/2024 15:53:17,Female,"Less than 9,100 to 18,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,TVL Track,,,,Cookery,,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Talking/Presenting in front of people,Organizing large-scale events,Performing on stage,Cooking and presenting dishes,Earist,BS in Culinary Arts
9/15/2024 19:17:08,Female,"Less than 9,100 to 18,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,TVL Track,,,,Cookery,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Physical and Health Activities,Interacting with people,Performing on stage,Reading/Writing content,cvsu,BS in Hospitality Management
9/28/2024 19:34:31,Female,"18,200 to 109,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",No,,,,,,Earth and Life Science,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Organizing large-scale events,Analyzing financial data,Reading/Writing content,ICCT,BS in Entrepreneurship
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,STEM,,Calculus,,,,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Drawing and creating digital designs, Solving math problems, Dealing with designs of buildings/infrastructures,Traveling,University of Santo Tomas,BS in Architecture
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","ISFP (Sensitive, artistic, and reserved. They are in tune with their surroundings and value personal freedom and experiences.)",Yes,TVL Track,,,,Cookery,,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Talking/Presenting in front of people,Organizing large-scale events,Performing on stage,Cooking and presenting dishes,Earist,BS in Culinary Arts
10/25/2024 19:21:17,Female,"18,200 to 109,200",ISTJ,Yes,TVL Track,,,,ICT/CSS,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Solving math problems,Programming,Reading/Writing content,Renowned State Universities,BS in Computer Science
10/23/2024 21:10:57,Male,"18,200 to 109,200","ISTJ (Responsible, organized, and practical. They value tradition and prefer clear procedures and structure.)",Yes,STEM,,Calculus,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Solving math problems,Analyzing financial data,Reading/Writing content,San Beda University,BS in Information Technology
10/27/2024 10:40:12,Male,"18,200 to 109,200","ISTJ (Responsible, organized, and practical. They value tradition and prefer clear procedures and structure.)",Yes,TVL Track,,,,Cookery,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Drawing and creating digital designs,Organizing large-scale events,Analyzing financial data,Reading/Writing content,Pamantasan ng Lungsod ng Pasig,BS in Information Technology
10/27/2024 18:48:19,Male,"Less than 9,100 to 18,200","ISTJ (Responsible, organized, and practical. They value tradition and prefer clear procedures and structure.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Solving math problems,Analyzing financial data,Traveling,RTU,BS in Mathematics
9/13/2024 15:53:17,Female,"Less than 9,100 to 18,200","ISTJ (Responsible, organized, and practical. They value tradition and prefer clear procedures and structure.)",Yes,ABM,Fundamentals of Accounting Business and Management,,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Managing a business, Solving math problems,Analyzing financial data,Reading/Writing content,PLP,BS in Accountancy
9/13/2024 15:53:17,Female,"Less than 9,100 to 18,200","ISTJ (Responsible, organized, and practical. They value tradition and prefer clear procedures and structure.)",Yes,ABM,Business Enterprise Simulation,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Managing a business,Organizing large-scale events,Analyzing financial data,Cooking and presenting dishes,Pamantasan ng Lungsod ng Pasig,BS in Accountancy
9/29/2024 20:57:57,Male,"Less than 9,100 to 18,200","ISTJ (Responsible, organized, and practical. They value tradition and prefer clear procedures and structure.)",Yes,TVL Track,,,,ICT/CSS,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Learning things about technology,Solving math problems,Programming,Dealing with human behavior,University of the Philippines,BS in Information Technology
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","ISTJ (Responsible, organized, and practical. They value tradition and prefer clear procedures and structure.)",Yes,ABM,Business Math,,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Managing a business,Organizing large-scale events,Analyzing financial data,Reading/Writing content,PUP,BS in Accountancy
9/29/2024 21:13:55,Female,"18,200 to 109,200","ISTJ (Responsible, organized, and practical. They value tradition and prefer clear procedures and structure.)",Yes,HUMSS,,,"Community Engagement, Solidarity and Citizenship",,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Physical and Health Activities,Interacting with people,Helping others learn,Dealing with human behavior,San Mateo Municipal college,AB in Psychology
10/27/2024 10:41:03,Female,"18,200 to 109,200","ISTP (Analytical, hands-on, and spontaneous. They enjoy solving practical problems and are flexible and adaptable.)",Yes,STEM,,General Biology,,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Physical and Health Activities,Taking care of others,Helping others learn,Dealing with human behavior,PUP,BS in Nursing
9/13/2024 15:53:17,Male,"18,200 to 109,200","ISTP (Analytical, hands-on, and spontaneous. They enjoy solving practical problems and are flexible and adaptable.)",Yes,STEM,,General Biology,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Talking/Presenting in front of people,Interacting with people,Analyzing financial data, Studying political systems,RTU,BS in Statistics
